arg1,arg2,verb,sentence,verb_stem,label
publications,stepping,plans,"Publications , which always have had the option of using private instead of second-class delivery , are now stepping up their own alternative delivery plans .",step,1
curbs,fixes,problems,"If he eventually wins the war -- curbs Eastern 's costs and fixes Continental 's service problems -- his airlines , with their exceptional size and market dominance , may become for him a kind of mass-production profit machine .",fix,1
agent,plant,device,"Last September a federal agent even tried to plant a listening device in the building housing MCA 's home video unit , but was discovered by MCA security guards .",plant,0
outs,absorb,billion,"At this year 's rate of $ 3.25 billion a month as tracked by IDD , it would take nearly four years for buy-outs to absorb $ 150 billion .",absorb,0
user,touches,button,"To find out the time , a user simply touches a button and the screen displays the time and date .",touch,0
converting,escape,tax,CO-OPS CONVERTING to condominiums can escape a tax on assets .,escape,0
romania,kicking,ambassador,"While Mr. Gorbachev preached togetherness yesterday , Romania was kicking Hungary 's ambassador out of the country .",kick,1
imprisonment,killing,officer,A court in London sentenced an American member of the outlawed Irish Republican Army to life imprisonment for killing a British police officer 13 years ago .,kill,0
company,pumping,gas,"The company has been pumping gas in Houston for more than 25 years , but is classified in the area as a non-major , with a market share of just 2.6 % , according to Whitney Leigh .",pump,1
ability,destroying,them,Whether that should be welcome news or cause for alarm depends on one 's confidence in the ability of Congress to write rules for markets without destroying them .,destroy,0
willingness,destroy,institutions,"They are so consumed by their own power , by a Mussolini-like ego , that their willingness to run over normal human beings and to destroy honest institutions is unending . ''",destroy,0
waiters,pouring,tequila,"The celebration is a rambunctious countrystyle baptism on a central highlands cattle ranch , with serenading mariachis , swaggering cowboys , and white-jacketed waiters pouring tequila like water .",pour,0
who,grasp,quandary,The new Clore-backed directors viewed their counterparts as stodgy pillars of the San Francisco establishment who failed to grasp KaiserTech 's financial quandary .,grasp,1
ibm,fix,problem,"The growing consensus in the computer industry is that midsized products are the weakest part of IBM 's business right now , and that IBM needs to fix that problem in 1988 .",fix,1
effectiveness,dissolve,gallstones,"But some physicians questioned the effectiveness of the drug , designed to dissolve gallstones , and how widely it might be used .",dissolve,0
agency,target,records,"The agency uses company-kept injury records to target inspections to work sites where injuries are most likely to occur , a system that Rep. Lantos contends provides irresponsible firms `` a premium for cheating , '' but that OSHA believes is the most effective use of its resources .",target,1
partisans,attacking,markets,These pamphlets were among dozens written just after the Tulipmania by anti-speculative partisans attacking the speculative markets and especially futures trading .,attack,1
he,grabs,roll,"Airborne , he grabs a roll of money from his back pocket and punches it toward the camera .",grab,0
regulators,stepped,scrutiny,"As previously reported , First RepublicBank Dallas had an unusually steep $ 600 million drop in average deposits one week last month after a rating service downgraded its deposit quality and reports that federal regulators stepped up scrutiny of the ailing banking concern .",step,1
agency,target,inspections,"The agency uses company-kept injury records to target inspections to work sites where injuries are most likely to occur , a system that Rep. Lantos contends provides irresponsible firms `` a premium for cheating , '' but that OSHA believes is the most effective use of its resources .",target,1
that,lent,to,"The Federal Home Loan Bank Board , as expected , adopted a resolution intended to reassure Wall Street firms that have lent about $ 12.6 billion to the thrift unit of troubled Financial Corp. of America .",lend,0
judges,destroyed,frame,Judges thus destroyed the time frame used in assessing risk .,destroy,0
agreement,pour,billion,This at a time when Germany is already leading a new rush to subsidize perestroika -- last week Deutsche Bank closed an agreement to pour some $ 1.9 billion of aid into Moscow 's bottomless coffers .,pour,1
signal,killed,290,"The spokesman said , however , that the plane was transmitting an identifying signal usually associated with civilian aircraft when a U.S. cruiser fired two missiles and killed all 290 aboard .",kill,1
man,drags,way,"The usually buoyant muscle man drags his way through the picture , though director Walter Hill probably should share the guilt for Arnold 's apparent lethargy .",drag,1
she,grabs,child,"When she hears that prisoners sometimes carve their names into logs that float downriver , she grabs her child and runs with her to the river .",grab,1
farmers,planted,soybeans,"Also , many farmers have planted soybeans amid their ruined wheat crop , possibly bolstering production .",plant,0
i,eating,him,"`` I thought I was eating him alive , '' recalled a rueful Mr. Bailey of a long-ago debate .",eat,1
he,killed,anyone,"But in talking with the FBI agent , the man not only denied he 'd killed anyone , he said that he had n't escaped from prison , that the warden had simply told him to leave one day after more than 20 years behind bars .",kill,0
he,plowed,afoot,"He plowed afoot behind a mule , picked cotton and hoed peanuts .",plow,0
planes,struck,plant,Yesterday its planes struck a nuclear-power plant and industrial targets near the Persian Gulf coast city of Bushehr and raided Khuzestan .,strike,0
disease,strike,individuals,"Four new studies strongly suggest that heart disease can strike individuals with especially low amounts of high-density lipoproteins , or HDL -- the body 's so-called good cholesterol -- even if their total cholesterol level is below 200 milligrams per deciliter , an amount doctors currently think is safe .",strike,1
effectiveness,dissolve,gallstones,"But some physicians questioned the effectiveness of the drug , designed to dissolve gallstones , and how widely it might be used .",dissolve,0
staff,targeted,one,"In moving against the 28-year-old Mr. Schmuckler , the CFTC staff targeted one of Wall Street 's computerized-trading wizards .",target,0
what,escape,him,"What seems to escape him is that the central value of the free market is that it is inextricably intertwined with human freedom , both spiritually and materially .",escape,0
publications,targeting,readers,"L.A. Style , a monthly with a circulation of about 50 , 000 , is one of several trend-seeking publications such as Taxi and Details that grew rapidly in recent years by targeting upscale readers in search of the latest nightspots , restaurants and fashions .",target,1
attempt,knock,amendment,"A coalition of civic leaders , civil libertarians and Hispanic groups had gone to federal court in an unsuccessful attempt to knock the amendment off the ballot .",knock,1
determination,kill,request,"Let Jim Wright , Chris Dodd , Tony Coelho , David Bonior , Mike Lowry and David Obey explain in the papers every day why their determination to kill the Contra request represents the proudest foreign-policy achievement of the Democratic Party in 1988 .",kill,1
plot,kill,ozal,"According to this scenario and much insider speculation , the plot to kill Mr. Ozal may have originated with a middle-level official whose career was threatened .",kill,0
them,strike,targets,"In addition , the eight-warhead missiles carry guidance systems allowing them to strike Soviet targets precisely .",strike,1
you,destroy,being,"`` You have to destroy another human being , '' Mr. Espinosa says .",destroy,0
vehicles,fix,problem,"Ford will recall 103 , 000 1986 Aerostar , Bronco II , and Ranger SuperCab vehicles to fix an electrical problem in vehicles equipped with front power lumbar seats .",fix,0
rouge,attack,forces,"Prince Norodom Sihanouk , the former Cambodian leader , said this week he was withdrawing from the resistance because the Khmer Rouge continues to attack his forces along the Thai-Cambodia border .",attack,0
it,lend,to,"The U.S. Export-Import Bank could assist the Polish transaction , but it 's legally forbidden to lend funds to Romania .",lend,0
habit,targeting,economy,"Traditions die hard , and the Fed has n't shaken its habit of targeting the real economy -- under the notion that inflation , too much money chasing too few goods , is prevented by curtailing the production of goods .",target,1
settlement,smooth,source,Settlement of the dispute will smooth out a troublesome source of friction in U.S.-Canadian trade .,smooth,0
report,cooled,sentiment,"The report cooled bullish sentiment brought about by a smaller Brazilian crop this year , analysts said .",cool,1
firm,lend,million,"Mr. Muth is president of Real Estate Advisors Inc . , a Los Angeles investment management firm that agreed to lend Wespac as much as $ 1.5 million under the agreement .",lend,0
plan,fill,position,"A spokesman for the real estate investment trust , which was set up a year ago to lease properties to American Medical International Inc . , a health-care concern , said there is n't any immediate plan to fill the chief executive position .",fill,0
funds,lent,to,"The Canadian government agency said the funds will be lent to the Bank of China , which will make them available to the China National Technical Import & Export Corp . , which is purchasing the plants .",lend,0
bank,lent,money,Standard Chartered sought the investigation last February following press speculation that the bank illegally lent money to buyers of its shares to ward off Lloyds 's # 1.27 billion -LRB- $ 2.25 billion -RRB- bid .,lend,0
exemptions,ate,rule,"A spokesman for Mr. Dingell said , `` The exemptions ate the rule . ''",eat,1
ability,fill,openings,"After years of being out of work and on welfare , many of the unemployed now lack the ability or initiative to fill openings .",fill,1
regulators,targeted,it,"Federal thrift-industry regulators have targeted it as one of hundreds of failing S & Ls in the Southwest that it intends to merge with other , better-capitalized institutions as part of a broad plan to restructure the industry .",target,0
adults,drink,beer,"`` Young adults tend to drink beer more for refreshment than any kind of connoisseur taste , '' he says .",drink,0
scores,grab,ring,"As a longtime trade-association executive in the petroleum industry , I have seen scores of upper-level managers grab the brass ring of early retirement .",grab,1
he,destroy,drexel,"The indictment also charges that Mr. Frankel , 32 , and Mr. Yagoda , 44 , committed perjury and obstruction of justice when they testified before the SEC in 1986 , and that Mr. Frankel further attempted to obstruct the SEC 's investigation when he directed a co-conspirator at Drexel to destroy certain documents .",destroy,0
hit,destroy,plane,So only a direct hit on the concrete hangar or an extremely close miss can destroy the plane on the ground .,destroy,0
he,dissolved,group,"Afterward , Enrique `` Quique '' Galarza , Cojunto 's lively , goateed , 40-ish lead singer , explained that he and his colleagues recently dissolved a pre-existing group and started Cojunto , so they do n't have any home turf dates either .",dissolve,1
basis,fix,prices,A group of containerized-waste customers charged that Waste Management Inc. and Browning-Ferris Industries Inc. conspired on a nationwide basis to fix prices for container-refuse service .,fix,0
time,examine,forces,"If that sounds like obstinacy , perhaps it 's time once more to examine carefully the forces that have kept the Arab-Israeli conflict boiling so long .",examine,0
who,eat,fish,"Parasite infections of people who like to eat raw or undercooked fish are increasing , and the main cause is the rising population of seals and other protected marine mammals , scientists reported .",eat,0
bush,roll,number,"Because eight of the GOP contests are winner-take-all by congressional district -LRB- and by statewide totals for at-large delegates -RRB- , Mr. Bush was on course to roll up a huge number of delegates for next summer 's national convention .",roll,1
releases,rolled,presses,"For a time , the OSHA news releases rolled off the presses with regularity .",roll,0
plan,absorb,me,The clearance came as a notary approved Ferruzzi 's plan to absorb Iniziativa Me.T.A .,absorb,1
sec,examining,both,People familiar with the investigation said the SEC is examining both of these motives in its current investigation .,examine,0
bill,cooling,period,The delay agreed to by the railroad and the United Transportation Union will give Congress a chance to take final action today on a bill reinstating a government-ordered cooling off period in the long-running labor dispute .,cool,1
residents,flooded,newspapers,"When it was first dedicated , residents flooded local newspapers with letters saying they hated it ; they likened it to a banana or a kid relieving himself from a bridge .",flood,0
they,examine,offer,But some institutional shareholders said they wanted to examine Griffin 's $ 35-a-share offer .,examine,0
campaign,targeting,brokers,"But this month S & P is trying to take the real estate world by storm , with a marketing campaign targeting 200 , 000 real estate brokers , appraisers and portfolio managers .",target,0
investors,plowed,million,"Early last month , U.S. investors such as Rockefeller Foundation and Equitable Capital Management Corp. plowed $ 225 million into Advent Corp. 's International Network Fund .",plow,0
they,eat,food,"Here , they can eat gourmet kosher food and swim at a beach that is partitioned with a curtain -- one side for men , the other for women .",eat,1
investigators,examine,document,"Digging into the affairs of a hypothetical Jones Corp . , for example , Murphy accountants and investigators in many cases will examine each and every document .",examine,0
he,pumping,volume,He says he has been `` pumping up the volume '' on his staff .,pump,1
attempt,knock,amendment,"The issue is particularly hot in Florida , where a coalition of civic leaders , civil libertarians and Hispanic groups went to federal court recently in an unsuccessful attempt to knock the proposed amendment off the ballot .",knock,1
proceso,played,role,Proceso has played a key role in making possible the once-unthinkable displays of disrespect that Mr. Salinas has faced .,play,1
that,attacks,insects,The drought is spawning an explosion in the spider mite population by harming a plant fungus that attacks the tiny insects .,attack,1
lawsuits,attacking,arsenal,The filing also reported two lawsuits brought by Staley shareholders attacking the company 's extensive anti-takeover arsenal .,attack,1
missiles,destroy,bombs,"Because they 're so accurate , cruise missiles can use conventional bombs to destroy targets that only a few years ago required nuclear warheads .",destroy,0
company,dragging,feet,"`` Most people can not believe that in the late 1980s this racist stereotype is still in existence anywhere , '' says Dara Demmings , an Interfaith Center executive , who says the company is dragging its feet .",drag,1
bombers,target,him,Col. North again proposed luring Col. Gadhafi to a spot where bombers could target him .,target,0
court,kick,him,"`` But it would be unusual for the appeals court to kick him out , since all the judges have to live with each other . ''",kick,0
remics,absorbing,bulk,"Remics are absorbing the bulk of newly issued mortgage securities as institutional buyers , such as thrifts and insurance companies , prefer the more tailored investment features of structured mortgage securities to the greater payment uncertainties of ordinary pass-throughs issued by Ginnie Mae , Freddie Mac and Fannie Mae .",absorb,1
arsonists,destroyed,chapel,Arsonists in Haiti destroyed a Roman Catholic chapel in a slum in Port-au-Prince .,destroy,0
i,roll,sleeves,`` I 'm going to roll up my sleeves and make this work . '',roll,1
candidate,drowning,chants,"It reported the cheers for the conservative opposition candidate aimed at drowning out the orchestrated chants for the government party 's man , and how ruling-party followers were taunted with cries of `` sheep '' and `` rats '' as security guards surrounded Mr. Salinas .",drown,1
he,lent,to,"He says he lent $ 13 , 000 to Victor Cohen , a friend of Mr. Galvin 's and an Air Force assistant secretary whose phone was tapped by federal investigators .",lend,0
knack,fix,firms,"Investors , analysts and members of the local banking community generally view Mr. Hillas as an able manager with a solid knowledge of the capital markets , a keen eye for evaluating banking companies and their businesses , and a knack for helping fix ailing firms .",fix,1
congress,stick,hands,"`` The question is , how many times does Congress have to stick its hands in the meat grinder before it notices it hurts ? ''",stick,1
we,knock,things,`` You think we can knock these things out like hamburgers ?,knock,1
you,grab,everything,"He adds , `` We 're trying very hard to avoid the Halley 's comet syndrome -- where you grab everything in sight and then you vanish . ''",grab,1
dole,attacking,bush,"But Mr. Dole has so far spent much of his campaign attacking Vice President Bush for , among other things , having the effrontery to attack Congress .",attack,0
that,destroy,initiatives,"Finally , that act would streamline procedures , allowing states to set or change individual permits without needless EPA review ; EPA to issue targeted requirements rather than comprehensive federal cleanup plans that destroy local initiatives ; and enforcement to become both swifter and fairer through self-executing citations reviewed by expert administrative law judges , not cases pursued in hundreds of backlogged district courts .",destroy,1
fire,destroying,facility,"Then , two days before the scheduled premiere in November , a fire raged through the opera house , destroying the backstage facility , sets and costumes .",destroy,0
he,attacked,governor,"He strongly attacked the Massachusetts governor , asserting that he would lead the nation toward higher taxes , economic stagnation and a weaker defense .",attack,0
harris,filled,void,"In a city where night life leans toward kids cruising on weekends , Gene Harris and his cohorts have filled a void and then some .",fill,1
agency,target,system,"The agency uses company-kept injury records to target inspections to work sites where injuries are most likely to occur , a system that Rep. Lantos contends provides irresponsible firms `` a premium for cheating , '' but that OSHA believes is the most effective use of its resources .",target,1
we,missed,greedseekers,"Says Charles Fuhrmann , a Merrill Lynch Capital Markets managing director , `` This year we missed the greedseekers and tourists . ''",miss,0
that,filled,life,"Mr. Vann 's life is a stunning story , its surface brilliance concealing sexual compulsions that filled his private life with lies .",fill,1
drinkers,drinking,beer,"Lower-alcohol beer is favored by `` session drinkers '' who spend an entire evening in a pub and are accustomed to drinking English beer which , despite its robust taste , generally is less potent than Australian or U.S. brands .",drink,0
economy,drag,heels,"That implies production slowdowns , which could result in job losses and weaker consumer spending , which in turn would cause the economy to drag its heels further .",drag,1
it,dragged,lot,Its black-stained concrete walls and blackened roof of rust make it look as if it were dragged off the back lot of a horror-film studio .,drag,0
he,missed,message,"When he discovers they 're celebrating the sale of a property , he rudely begins to berate the older executive , in front of all , for not giving him a fair chance , only to find out he missed a telephone message .",miss,0
they,kill,it,"`` The market had a bad spill on Friday , and normally when that happens they absolutely kill it on Monday , '' said Bernard Savaiko , senior precious metals analyst for PaineWebber Inc . , New York .",kill,1
he,drag,offense,"In fact , the biggest problem facing a Jimmy Snyder or Gary Hart today is n't the loss of job or candidacy but the likelihood that he will have to drag his offense forever , like a tin bell , all across the land .",drag,1
letter,misses,point,Susan W. Peters 's Aug. 26 letter to the editor concerning the qualifications of business-school professors misses an important point .,miss,1
they,drink,wine,Others say they still can drink wine even after their livers are too far gone to handle spirits .,drink,0
banks,lend,other,"Among short-term interest rates , the rate on federal funds , or reserves banks lend each other overnight , averaged 6.81 % , according to Fulton Prebon -LRB- U.S.A -RRB- .",lend,0
it,miss,facilities,Part of the drop was attributed to the lessening severity of Hurricane Gilbert and expectations it would miss major U.S. oil facilities .,miss,0
insurer,escape,liability,The arrangement would break new legal ground as a means for an insurer to escape its own potential liability by piggybacking on the Chapter 11 reorganization of a former policyholder .,escape,1
section,pumps,barrels,"Britain 's North Sea section pumps about 2.5 million barrels of oil a day , while the Norwegian section pumps about 1.2 million barrels a day .",pump,1
that,killed,soldiers,West German police are seeking a West Berlin woman working for Palestinian terrorists in connection with a 1986 discotheque bombing that killed two U.S. soldiers .,kill,1
quotations,attacking,community,"During the debate , when Mr. Chirac derided Mr. Mitterrand for having changed his mind from time to time during a 40-year political career , Mr. Mitterrand , clearly well coached , retorted with some 10-year-old quotations from Mr. Chirac attacking the European Community , which Mr. Chirac now warmly embraces .",attack,1
industry,pouring,millions,So the chemical industry is reluctantly pouring millions into developing biodegradable plastics .,pour,1
patrol,killed,boy,An Israeli patrol killed a three-year-old Palestinian boy in the Gaza Strip as Arabs staged a general strike in the occupied territories to mark the start of the 12th month of an uprising against Israel .,kill,0
falloff,strikes,terror,"A steep falloff in U.S. oats production `` strikes terror in our hearts , '' says a commodity buyer for Quaker Oats Co .",strike,0
ltd,lend,banks,"Manufacturers Hanover Ltd . , the London-based investment-banking unit of Manufacturers Hanover Corp . , is organizing banks to lend $ 160 million to Super Octanos C.A . , a 51 % Venezuelan state-owned joint venture .",lend,0
criticism,attacking,convoys,"The point of this review is not necessarily to let off the Eritreans , who have recently come under deservedly strong criticism for attacking two food convoys , but to demonstrate how famine in northern Ethiopia is part of something much broader and more complex than drought .",attack,0
rains,killed,links,"Water is receding there , but in Bombay yesterday , torrential rains killed at least 14 people , and roads and rail links in the city were cut off .",kill,0
pickup,dragging,ranger,One ad in the campaign developed by Lintas: Campbell-Ewald & Co. shows a Chevrolet S-10 compact pickup dragging a Ford Ranger into a `` crater of fire . '',drag,0
merchant,attack,grandmother,"The only thing certain is that a Korean merchant wholly dependent on the good will of his customers would be crazy to attack a black grandmother in a virtually all-black neighborhood -- and Mr. Chung , who cleaned fish for three years to scrape together the money to buy his market , seems anything but crazy .",attack,0
campaign,playing,part,"As voters trooped to the polls and caucus locations in the Northern Plains , Mr. Robertson accused Vice President Bush 's campaign of playing a part in the disclosures about the sex life of television evangelist Jimmy Swaggart .",play,1
they,destroyed,acres,"They destroyed 450 , 000 acres of sugar beets and other crops .",destroy,0
mexico,pumped,reserves,"Industry publications of record initially were skeptical of some of the new claims , knowing that Mexico , for instance , had once pumped up its reserves officially to increase bank borrowings .",pump,1
foreigners,lend,us,So the same Congress that runs a budget deficit so that foreigners have to lend us money wants to make it more difficult for foreigners to lend us money .,lend,0
leaders,stepped,challenge,"The nation 's two major opposition leaders , Kim Dae Jung and Kim Young Sam , stepped up their challenge to Mr. Roh Friday by announcing their intention to form a united party .",step,1
it,lend,momentum,"Donald Ogilvie , executive vice president of the American Bankers Association , hailed the Senate vote and said that it would lend `` momentum '' to advocates of similar legislation in the House .",lend,0
time,grasp,principle,"But if the Fed and other central banks and treasuries can this time grasp the principle , the dollar 's summer rally could be an important rendezvous for the world 's monetary system .",grasp,0
con,targeted,10,"Out of 2 , 500 patented Soviet technologies available , Lic-Con has targeted 10 for the U.S. market initially , including a ceramic spray-coating process ; a non-explosive powder for excavating rock ; and a water-resistant concrete binding agent .",target,0
becker,dissolve,agreement,Puma spokesman Uto Duethorn said Mr. Becker and Puma mutually agreed to dissolve the agreement this month .,dissolve,1
it,drink,glasses,"It is impolite to drink less than three glasses and , after the third , it is generally impolite for guests to linger .",drink,1
dismissal,drown,message,"Here in Ohio , some Democrats worry that Mr. Bush 's dismissal of his opponent as a Massachusetts liberal may drown out the Democrat 's message on the economy .",drown,1
wholesalers,filled,pipeline,"The generally accepted reason for the softening of TPA sales is that wholesalers filled their distribution pipeline , and hospital usage now is coming out of wholesalers ' stocks of the drug -- not new sales , Ms. Behrens said .",fill,1
game,eat,characters,The Pac Man defense is named after the video game in which characters try to eat other characters before they get eaten themselves .,eat,1
companies,examine,information,"Data rooms opened this week , and for each of the eight packages , at least 10 companies plan to examine the information , Mr. Ketelsen said .",examine,0
ability,absorb,activities,Mr. Ennis said he believes Rockwood got into financial difficulty because its expansion efforts `` outstripped its ability to absorb those activities . '',absorb,1
past,dissolve,one,"And its matter-of-fact citizens are taking the long view-as befits a place where , in the words of Mr. Dyer 's Boonville history , `` past and present slowly dissolve one into the other . ''",dissolve,1
has,strike,deal,"The agreement between the Bank Board and Bass group also represents a defeat for Ford Motor Co . , which has for more than a year been trying to strike a deal with the Bank Board to acquire American Savings .",strike,0
panhandle,escaped,total,"If the Federal Energy Regulatory Commission approves the plan , Panhandle will have escaped a total of about $ 4 billion in take-or-pay contract liabilities .",escape,0
banks,lend,one,"Since late January , the Fed has pushed the rate on federal funds , or reserves banks lend one another overnight , down a quarter of a percentage point to 6 1 2 % and then back up to about 6 3 4 % .",lend,0
expansion,fill,book,"Critics argue that Barclays 's expansion simply will fill its loan book with bad debts nobody else wants , a contention bank officials dispute .",fill,1
dentists,stick,pieces,"To use the $ 20 test , dentists stick pieces of paper between the patient 's teeth and gums , then send the paper to BioTechnica for analysis .",stick,0
step,examine,lawyers,It 's a step designed to get around potential subpoena limitations by enabling lawyers to examine Seattle witnesses from here .,examine,0
deficit,knock,average,"Sure , everybody knows how the trade deficit , the dollar and index arbitrage helped knock the Dow Jones Industrial Average down 101.46 points Thursday .",knock,1
plan,lend,financing,"The revised terms stem from ITT 's review of Portland , Ore.-based American Network 's operations , including actual and expected losses , plus ITT 's plan to lend the company short-term financing .",lend,0
that,missed,boom,"Meanwhile , prices in parts of the North that missed the boom might start rising .",miss,0
you,knocked,me,"You could have knocked me over , '' said Joseph Ronning of Brown Brothers Harriman & Co .",knock,1
hawk,attacking,prey,"Mr. Schnittke is also a composer of extremes , and in the new Fourth Piano Sonata he has Mr. Feltsman achieving kinetic climaxes at the highest and lowest registers simultaneously , the pianist 's arms widely extended and lunging at the piano like a hawk attacking his prey .",attack,1
hug,knocked,hat,"The hug knocked off Spinks 's hat , a broad-brimmed , white number .",knock,0
difference,absorbing,north,"The difference: An ever wealthier South Korea can imagine absorbing the poorer , less-populated Communist North , but Taiwan , no matter how rich , would be swallowed whole by the massive Chinese mainland .",absorb,0
loggerheads,examine,books,"David L. Paul , CenTrust 's chairman and chief executive officer , said it has been talking with Florida Federal `` for three or four weeks '' but came to loggerheads over the ground rules for CenTrust to examine Florida Federal 's books .",examine,0
game,pouring,brew,"Here Mr. Brown plays barkeep mentor to Mr. Cruise , the wise old hand who teaches the pup how to succeed at the high-stakes game of pouring brew .",pour,0
army,fix,trucks,"As the Army pressed Oshkosh to fix the trucks , says Col. Ronald Cundrick , an Army lawyer , `` we had them stacked all over the place . ''",fix,0
i,ate,salad,"The Cincinnati Dancing Pigs Jug Band played `` Coney Island Washboard Roundelay '' and I ate cold noodle salad , fried wontons and a big RC .",eat,1
childhoods,missing,fathers,Some are trying to escape childhoods troubled by missing fathers or drug-addicted mothers .,miss,0
index,touched,high,"The New York Stock Exchange composite index also touched a high since the crash but pulled back to close at 144.82 , up 0.28 but below its Oct. 21 level of 145.02 .",touch,0
effort,kill,panels,Gov. Roemer 's first effort to kill 125 panels outright died in the legislature earlier this year .,kill,0
second,examine,policies,The second will examine policies that could lessen current concentrations of gases that contribute to global warming .,examine,0
plan,lent,million,Connecticut 's state pension plan has lent $ 475 million since 1981 for in-state mortgages .,lend,0
they,poured,gasoline,They poured gasoline over the pile and set it on fire .,pour,1
scarier,stepping,door,"`` It 's no scarier than stepping out my door at home , '' says Davoru Sperling , a Torah student from the West Bank .",step,0
dan,pouring,lot,"As we watch everybody eat -- Dan pouring rather a lot of salt on his chicken salad and from the looks of it , running out of banter -- a local pollster makes conversation with the press .",pour,0
idb,lent,billion,"The IDB has lent more than $ 35 billion since its inception 27 years ago , much of it to create the type of parastatal companies Treasury Secretary James Baker has been trying to persuade Latin governments to dismantle .",lend,0
show,touches,something,"The new show , Mr. Stoddard believes , `` touches something , consciously or unconsciously , that is about a lot of women 's lives . ''",touch,1
it,touch,contest,It also promises to touch off a contest to succeed Mr. Sarni among the three group vice presidents .,touch,1
organization,attack,trademark,He predicted the opinion `` will open up a can of worms because now any trade organization can attack any trademark claimed by someone else in the industry . '',attack,1
basis,fix,prices,A group of containerized-waste customers charged that Waste Management Inc. and Browning-Ferris Industries Inc. conspired on a nationwide basis to fix prices for container-refuse service .,fix,0
list,targets,stocks,"The firm 's list also targets several truly out-of-favor stocks , namely Primerica , the financial-services concern , and retailers Dayton Hudson and Zayre .",target,1
they,examining,thunderstorms,"Drought concerns are so great that `` they 're examining thunderstorms through a microscope , '' hoping every cloud will bring a downpour , says David Taylor , meteorologist for Weather Services Corp. of Bedford , Mass .",examine,1
dukakis,absorbed,many,Anyone who spends a few hours reading his speeches and talking to Democrats familiar with his views learns quickly that Mr. Dukakis has absorbed many of the dovish obsessions of his party 's left .,absorb,0
partisans,attacking,markets,These pamphlets were among dozens written just after the Tulipmania by anti-speculative partisans attacking the speculative markets and especially futures trading .,attack,1
discovery,examine,link,The discovery has led air-safety investigators to examine a possible link between the Continental craft and two aircraft accidents that involved fuselage cracking .,examine,1
press,kick,americans,"Their ambassador , Oleg Sokolov , speaks fluent English , goes to prayer breakfasts with President Corazon Aquino , and gives smooth interviews to the Philippine press in which he urges the country to kick out the Americans and get friendlier with Moscow .",kick,1
it,stepped,criticism,"But in recent weeks , it has stepped up criticism of the Aquino government and attracted a cross-section of old-time politicians .",step,1
chemical,kills,cells,Federal researchers are exploring a possible new biological weapon against cells infected with the virus that causes AIDS. Scientists at the National Institutes of Health are studying a chemical that seeks and kills AIDS-infected blood cells without harming healthy ones .,kill,0
move,struck,analysts,The move struck some analysts as an interim one because of Mr. Thomas 's age and background .,strike,1
he,struck,canseco,"He did , however , get McGwire to pop out with two out and the bases loaded in the eighth , and he struck out the mighty Jose Canseco on a 3-2 count with a man on in the ninth .",strike,1
pair,dancing,salsa,"Television commercials expected to air in mid-April in New York and Miami will feature the homespun pair dancing the salsa , advertising sources said .",dance,0
tears,roll,cheeks,Tears roll down Juana Lara 's cheeks when she recalls the family 's desperation a few years ago .,roll,0
it,targeted,center,"Before midnight , it had targeted the National Aeronautics and Space Administration Ames Research Center in California 's Silicon Valley , as well as the University of Pittsburgh and the Los Alamos National Laboratory in New Mexico .",target,0
it,lend,funds,"The U.S. Export-Import Bank could assist the Polish transaction , but it 's legally forbidden to lend funds to Romania .",lend,0
radicals,besieged,hotel,"When radicals besieged his hotel while he was visiting Seoul last week , he promised them he would make yet another effort to play up to North Korea -- by renewing the offer to let the North host several Olympic events .",besiege,0
it,eats,soul,It just eats your soul . '',eat,1
he,lent,000,"Mr. Parkin says that in 1982 , he lent $ 13 , 000 to Mr. Cohen , the Air Force official responsible for tactical air systems and a close friend of Mr. Galvin .",lend,0
roessler,pours,dipper,"As each diver plunges into a cage , Mr. Roessler pours a smelly dipper of chum on top of him: the initiation rite .",pour,0
they,pouring,liqueurs,"They are pouring lots of free drinks , especially champagne and liqueurs , at art events in Los Angeles and New York .",pour,0
pores,escape,package,"The pores permit carbon dioxide released by the respiring produce to escape the package , while allowing only small amounts of oxygen to enter . -LRB- Air is 21 % oxygen. -RRB-/-RR",escape,0
forces,attacked,towns,"Iran said its jets bombarded an Iraqi military base and oil refinery in Baghdad , and Iraq said its forces attacked 10 Iranian towns .",attack,0
rates,lend,to,"Still , market participants say the firmer U.S. interest rates will lend support to the dollar if tomorrow 's report shows that the trade gap widened in June .",lend,1
manufacturers,escape,ban,Mr. Tennyson said it 's unfair that foreign cigarette manufacturers who advertise through U.S. magazines will escape the ban .,escape,1
attempt,smooth,volatility,They said the amounts were small and the action was interpreted as more an attempt to smooth volatility and slow the dollar 's ascent than to stop it .,smooth,1
it,pour,thing,But it 's another thing to simply pour money into a fiscal black hole .,pour,1
it,struck,conclusion,It struck down the comptroller 's conclusion that the Bank Holding Company Act did n't apply .,strike,0
pyongyang,attack,demonstrators,"This expert also believes that Pyongyang might use helicopters it has bought from the West , which are identical to those used by the Seoul army , to attack student demonstrators .",attack,0
she,planted,bombs,The State Department cited `` compelling '' evidence of North Korean complicity after a confessed North Korean agent said on South Korean television that she planted the bombs .,plant,0
court,melted,statue,But the Supreme Court melted down my statue when it decided Hazelwood . '',melt,1
children,rode,bicycles,"Children rode bicycles , played street sports , and had toys that required effort .",ride,0
